"","Common name","Image","Origin","First developed","Comment","Use"
"241","Cox's Orange Pippin[21][18][104]","","England","1829","One of the most celebrated apples in the United Kingdom, valued for its aromatic ""orange"" color and flavor. W 60, H 48, We 85-100. Stalk 10 mm. The fruit is widely sold commercially. Mainly grown in United Kingdom, Belgium and the Netherlands but also grown for export in New Zealand. Use October - February.","Eating"
"242","Cox Pomona(syn. Pomona)[8][105][106]","","Buckinghamshire, England","c. 1825","A large five crowned apple. W 88, H 67. Stalk 14 mm. Raised by Richard Cox. Parentage Alexander x unknown. Mainly grown in Denmark and Sweden.","Eating, Cooking"
"243","Cranberry Pippin[4][107]","","New York, US","<1840","Large yellow apple with red flush. W 80, H 62-68.  Stalk 10-15 mm. Flesh white, juicy, subacid. Use November - February.","Cooking"
"244","Crawford(syn. Crawford Keeper)[4]","","US","<1850","Flesh yellow, tender, juicy, subacid. Use February - April.","Eating"
"245","Crawley Beauty[21][108]","","England or France","<1870","A pale green cooking apple. W 58, H 45. Stalk 15–20 mm. At maturity yellow with orange-red flush. Award of Merit from Royal Horticultural Society in 1912. Pick mid October. Use December - March.","Cooking"
"246","Creek[3]","","Pa. US","<1870","Flesh white, tender, juicy, subacid. Very good. Tree vigorous. Use December- March.","Eating"
"247","Cripps Pink ('Pink Lady')","","Australia","1970s","Crisp, very sweet and slightly tart. Light red, pink and light yellow-green striped skin.","Cooking, Eating"
"248","Crispin","","Japan","1930","See Mutsu","Eating"
"249","Crimson Delight","","Washington, United States","","Crimson Delight is a multi-purpose apple intended for snacking, baking and fresh recipes. The fruit size is medium to large with a firm texture and is crisp and juicy.","Eating, Baking etc."
"250","Crimson Gold","","California","1944","A golf ball sized applecrab hybrid developed by Albert Etter who named it Little Rosybloom for its cute size and attractive ruby red flush. He died before completing the patent papers. Fruit was later rediscovered and renamed. Very crispy and keeps texture in baking.","Eating, Baking etc."
"251","Crimson Queening[8]","","England","<1831","A grennins yellow apple flushed (50-75%) crimson. W 73, H 73. Stalk variable. Flesh greenish white, soft, sweet, juicy, subacid. Pick early September. Use September - October.","Cooking"
"252","Crispin see Mutsu",NA,NA,NA,NA,NA
"253","Criterion","","New York","1898","One of parents believed to be Ben Davis, but very tart unlike parent. Dark red skin underlain with stripes.","Cooking, Eating"
"254","Croncels[18]","","France","1869","Round oblong. Pale milky yellow with occasional slight flush. Flesh pale yellow, tender, very juicy. Use September, October. W 80, H 67, We 195.","Eating"
"255","Cullasaga[4]","","North Carolina, US","<1858","Flesh yellow, tender, juicy, sweet flavor. Use January - April.","Eating"
"256","Curl Tail[8]","","England","<1872","A yellow apple. W 70, H 62. Stalk short. Flesh white, soft, dry, subacid. Pick mid September. Use October- December.","Cooking"
"257","Dakota Beauty[5]","","South Dakota, US","Introduced 1944","",""
"258","Daniel[4]","","Indiana, US","<1850","A delightful dessert apple. Flesh subacid, aromatic. Use September","Eating"
"259","Danziger Kantapfel[13]","","Germany","<1760","A yellow apple with red overcolour. W 63, H 58 Pick October. Use October - December.","Cooking, Eating"
"260","D'Arcy Spice agm[109][21]","","Tolleshunt D'Arcy, Essex, England","1785","A medium-sized apple with yellow-green skin, a red blush where exposed to the sun and covered with an spotty ochre russet. White flesh is aromatic, firm and crisp with noticeable hints of anise and clove. W 67, H 58-61. Stalk 12 mm. Pick late October. Use December - April.","Eating"
"261","Davey[5]","","Massachusetts, US","Introduced 1950","P McIntosh x unknown. Tree bears earlier and more regularly than Baldwin, resistant to scab.","Eating"
"262","Deacon Jones[110][111]","","Pennsylvania, US","<1890","Large oblong-conic, ribbed. Yellow with red flush. Tree vigorous. Flesh yellow, firm, coarse, crisp, tender, juicy, mild subacid, aromatic, fair to good. Use November - March.","Eating"
"263","Dean´s Codlin[34]","","England ?","<1844","A large apple W 91, H 74. Stalk 15 mm. Use December - March.","Cooking"
"264","Delawine[5]","","Ohio, US","Introduced 1948","P Delicious x Stayman Winesap. Flesh juicy and flavor of Stayman Winesap. Tree strong grower.",""
"265","Delblush","","France","1979","Tentation delblush, Golden Delicious × Grifer","Eating"
"266","Delcon[5]","","Missouri, US","Introduced 1948.","P Conrad x Deliciious. Tree dwarf tendency, heavy producer.","Eating"
"267","Delcorf[112]","","France","1960","Delbarestivale delcorf,Golden Delicious × Stark Jonagrimes","Eating"
"268","Delfloga","","France","2008","Delbardivine delfloga,Royal Gala Tenroy × Florina, scab resistant","Eating"
"269","Delflopion","","Delbard, France","","Sampion × Florina, scab resistant","Eating"
"270","Delicious[8]","","Iowa, US","c1880","W 69, H 68. Stalk medium. Flesh white, juicy, sweet, atromatic. Pick mid October. Use December - March.","Eating"
"271","Delrouval","","France","1995","Cybèle delrouval,Delcorf × Akane","Eating"
"272","Deltana","","France","2010","Delbard Celeste deltana,(Golden Delicious × Grive Rouge) × Florina, scab resistant","Eating"
"273","Democrat[3]","","US","<1869","A yellow apple striped and splashed with red. W 77, H 70. Stalk 24 mm. Flesh juicy, subacid. Very Good. Use December - March.","Eating"
"274","Detroit Red(syn. Detroit)[3][113]","","US ?","<1820","Flesh, white, crisp, juicy, subacid.W 84, H 68. Stalk 10mm.  Good. Use October - February.","Eating"
"275","Deutsher Goldpepping(syn. Pomme d`Or d`Allemange[34]","","Germany","<1833","A yellow apple. W 59, H 47. Stalk 14 mm. Use January - April.","Eating, Cooking"
"276","Devonshire Quarreden[8][21]","","England, France?","1685 (documented)","Possible French parentage or ancestry. Crimson red peel. Juicy. W 51-64, H 38-48. Stalk 15 mm. Flesh greenish-white, crisp, juicy, sweet. Pick late August. Use late August - early September.","Eating"
"277","Dewdney´s Seedling[8]","","Lincolnshire, England","c1850","Large, irregular, late cooking apple. Flesh juicy, acid. W95, H80. Stalk very short. Pick late August. Use October - January.","Cooking"
"278","Diamond Jubilee[7]","","Kent, England","<1901","A yellow apple. AM from RHS in 1901. Flesh firm, white, good. Use January - March.","Eating, Cooking"
"279","Discovery agm[114][21]","","Essex, England","1949","P Worcester × Beauty of Bath. W 66, H 48. Stalk 10 mm. Sharp, sweet flavour. Fruits are sold commercially in the United Kingdom. Pick mid August. Use mid August - mid September.","Eating"
"280","Doctor[3][28]","","Pennsylvania, US","<1817","Flesh tender, juicy, aromatic, subacid. Good. Use October - January.","Eating"
"281","Domine(syn. Hogan, Wells, Cheat)[3][115]","","US","<1831","W 74, H 56. Stalk 29 mm. Flesh exceedingly tender and juicy. Use December - April.","Eating"
"282","Domino[7]","","Nottinghamshire ? England","?","Oblong, rounded, irregular. Pale yellowish green. W 64 H 70. Stalk short. Flesh crisp, acid.","Cooking"
"283","Domnesc(syn. Pomme de Moldavie, Herrenapfel)[11]","","Moldova","<1800","W 100, H 70-80, We 170-210. Flesh, juicy, sweet sour. Pick September. Use October - January.","Eating"
"284","Dorsett Golden[10]","","Bahamas","1964","Grown from chance seedling of Golden Delicious. Yellow with (10-40%) red flush. Flesh sweet, subacid, good. Tree vigorous. One of the most southerly apples grown in North America.","Eating"
"285","Double Red Baldwin[5]","","New Hampshire","Discovered 1924. Introduced 1927.","Mutation of Baldwin. Darker red than Baldwin","Eating"
"286","Double Red Delicious see Starking.",NA,NA,NA,NA,NA
"287","Double Red Duchess see Red Duchess.",NA,NA,NA,NA,NA
"288","Double Red McIntosh see McIntosh Rogers.",NA,NA,NA,NA,NA
"289","Double Red Rome Beauty[5]","","Washington, US","Discovered 1925, Introduced 1927","Mutation of Rome Beauty.","Eating"
"290","Double Red Wealthy[5]","","New York, US","Discovered 1933, Introduced 1940","Dark red mutation of Wealthy.","Eating"
"291","Double Red Willow Twig[5]","","Illinois, US","Discovered 1927, Introduced 1929.","Dark red mutation of Willow Twig","Eating"
"292","Dougherty/Red Dougherty","","Australia, New Zealand","1930","Red Dougherty is a recent mutation discovered in New Zealand from the old Australian Dougherty.","Eating"
"293","Downton Pippin[6]","","Herefordshire, England","1806","A dessert apple of first-rate quality. Use November to January. H 44 W 54. Parentage: Orange Pippin x Golden Pippin.","Eating"
"294","Drakenstein[10]","","South Africa","Introduced 1981","Round, bright red. P (Wemmershoek x Granny Smith) x Richared Delicious. Tree vigorous.","Eating"
"295","Duchess of Oldenburg(syn. Charlamowsky, Borowinka)[8][13]","","Russia","18th century","Has red stripes with splashes of green. Excellent resistance to freezing temperatures. Stalk 20 mm. W 71-76, H 58-68.","Cooking, Eating"
"296","Duchess´s Favourite[21]","","Surrey, England","c1800","A yellow apple with red flush. W 58, H 61. Stalk 12 mm. Flesh white, acid. Pick late August. Use August - September.","Eating"
"297","Dudley Winter(syn. Dudley)[116]","","Castle Hill, Maine, US","19th century","A medium-sized oblate apple with greenish-yellow skin covered with red stripes over a solid red blush. W 74, H 60. Stalk 12 mm. Flesh is firm but tender, juicy, aromatic and quite tart, becoming milder as it ages. Good for fresh eating and cooking; rated by many as one of the best for apple pies and sauces. Tree is a natural semi-dwarf, very hardy and bears heavily annually.","Cooking, Eating"
"298","Duke of Devonshire[8][21]","","Lancashire, England","Raised 1835. Introduced 1875","Dessert apple, resistant to scab and canker. W 61-69, H 54-56. Stalk 5 mm. Pick early October. Use January - March.","Eating"
"299","Dülmener[18]","","Germany","1870","W 83, H 68, We 195. Stalk 10–16 mm. Pick September. Use September - December.","Cooking, Eating"
"300","Dummellor's Seedling agm[117] also known as Dumelow's Seedling[118][21]","","Shackerstone, Leicestershire, England","<1800","Roundish-oblate apple with pale greenish-yellow skin strewn with large russet dots, occasionally covered with a delicate pinkish-orange blush. W 77, H 61. Stalk 11–14 mm. Flesh yellow-tinted white flesh, aromatic, firm, crisp, tart, and very juicy. One of the most widely grown culinary apples of Victorian England, esteemed for its fine flavour and good keeping qualities. Pick mid October. Use November - March.","Cooking"
"301","Dungay[92]","","England","<1884","An excellent cooking apple. W 76 H 63. Stalk 25 mm. Use October - December.","Cooking"
"302","Dunning[5]","","Geneva, New York, US","Raised 1923. Introduced 1938","P Early McIntosh x Cox Orange. Flesh sweet. Pick early August.","Eating"
"303","Dutch Codlin(syn. Chalmers Large, Glory of the West)[92]","","Netherlands ?","1783","One of the best kitchen apples. Greenish yellow with red flush. Stalk 25 mm and thick. Eye small and closed. Flesh white and sub -acid. Use August to September.","Cooking"
"304","Dutch Mignonne[119]","","Holland","<1771","Medium size round. Flesh, cream, crisp, juicy. Stem long. Use November - February","Eating Cooking."
"305","Dyer(syn. Pomme Royale)[120][121][122]","","?","?","A yellow apple with brown flush. W 72, H 60. Stalk 20 mm. Tree vigorous. Flesh yellow, crisp, tender, aromatic, subacid, aromatic, very good to best. Use September - October.","Eating"
"306","Dymock Red[92]","","Gloucestershire, England","?","A roundish or oblate red apple. H 41, W 54. Stalk very short. Pick late September.","Eating, Cider"
"307","Egle","","Lithuania","","","Eating"
"308","Eady´s Magnum[8]","","England","c1908","W 91, H 73. Stalk short. Flesh white, juicy, acid. Pick mid October. Use December - March.","Cooking"
"309","Early Chandler[3]","","US","<1875","Stalk short. Flesh yellow, tender, juicy, subacid. Too acid for eating. Use August.","Cooking."
"310","Early Harvest(syn. July Pippin, Yellow Harvest, Tart Bough)[3][123][28][124]","","US","<1806","W 58-85, H 39-70. Stalk 17–20 mm. Flesh white, crisp, tender, juicy, subacid, good to very good. Pick and Use July.","Eating"
"311","Early Joe[3][125][126][127]","","New York US","<1843","W 61, H 46. Stalk 20 mm. Flesh whitish, tender, juicy, vinous flavor, very good to best. Tree is a slow grower. Use mid August - mid September.","Eating"
"312","Early Julien[6]","","Scotland","<1800","An excellent culinary apple. The tree is not a large grower. H 48, W 60.","Cooking"
"313","Early McIntosh[5]","","Geneva, New York, US","Introduced 1923","P Yellow Transparent x McIntosh. Flavor excellent. Pick early August.","Eating"
"314","Early Nonpareil[92]","","Norfolk, England","c1780","W 57, H 45. Flesh crisp, aromatic, subacid.","Eating"
"315","Early Pennock(syn. Shaker Yellow, Homony)[4]","","US","<1800","W 79, H 70,. Stalk 12 mm. Flesh yellow, avid. Quality poor. Use July - August.","Cooking"
"316","Early Ripe[3][128]","","Pennsylvania ? US","<1867","W 75, H 559. Stalk 15 mm. Flesh white, tender, juicy, subacid. Good. Tree productive.","Eating"
"317","Early Strawberry[3][129][28][130]","","New York US","<1838","W 58-63, H 49-52, Stalk 25–33 mm. Flesh white, tender, subacid, aromatic, very good. Use July - September.","Eating"
"318","Early Victoria[8]","","Essex, England","1899 (introduced)","Possibly from Lord Grosvenor × Keswick Cod. Also called Emmeth Early. Ripens in late July. Pale yellow fruit.","Eating"
"319","Easter Orange[50][7]","","England","<1897","Round conical, deep golden yellow with flush and stripes of dark brown red. Flesh firm, yellow, of good flavour. AM from RHS in 1897. H 63, W 66. Use February - April.","Eating"
"320","Ecklinville[8]","","Ecklinville, Ireland","c. 1820","Large, round, greenish-yellow. H 63, W 78. An excellent early cooker. Pick September. Use September - October.","Cooking"
"321","Edelborsdorfer[97]","","Germany","<1600","A green apple with red flush and russet. W 70, H 63. Pick October. Use December–March.","Eating, Cooking"
"322","Edelrother[34]","","","<1856","Yellow with red flush. W 65, H 61. Stalk 16 mm. Use November - January.","Eating"
"323","Edith Hopwood[131]","","Essex, England","<1929","Yellow with russet. Stalk very long. Use October-November.","Eating"
"324","Edward VII[7]agm[132][21]","","Worcestershire, England","1908 (introduced)","A large oblate-round apple with yellow-green skin and pinkish-brown blush. W 83, H 70. Stalk 6 mm. AM from RHS in 1903. Suitable for more northerly, cold, wet climates. White flesh is sharp and pleasant. Extraordinary keeper; apple ripens in autumn and will keep until Easter. P Possibly Blenheim Orange × Golden Noble. Pick mid October. Use December - April.","Cooking"
"325","Edwards[3]","","N.C. US","<1870","A greenish yellow apple, lightly striped with red. Flesh juicy, firm. One of the best keepers.","Eating"
"326","Edwin Beckett[133][134]","","England","<1915","Green to yellow with red flush. W 100, H 114.","Cooking"
"327","Egremont Russet agm[135][21][136]","","Sussex, England","1872","W 64 - 67, H 48-57. Stalk 6–10 mm. Brown russeting, nutty flavor. Excellent keeper. Resistant to scab, very prone to bitter pit. Pick late September. Use October - December.","Eating"
"328","Ein Shemer[10]","","Israel","1963","P Zabidani × Golden Delicious. This variety ripens in June. Tastes tart, does not do well in cold weather. (Not the same as Anna (apple))","Eating"
"329","Elektra[18]","","Germany","","W 68, H 58, We 95-100. Stalk 5 – 15 mm. Pick October. Use November - February.","Cooking, Eating"
"330","Ellison's Orange[137][7]agm[138][21][139]","","Lincolnshire, England","1911","W 67, H 57. Stalk 15 – 35 mm. Cox's Orange Pippin × Cellini. FCC from RHS in 1917. Rich aniseed flavor. Pick mid September. Use September - October.","Eating"
"331","Elstar agm[140]","","Netherlands","1950s","Golden Delicious × Ingrid Marie. Medium-sized, mostly red with yellow showing. Often used in desserts due to its intense honey flavor.","Cooking, Eating"
"332","Emneth Early[141][7]agm[142][21]","","Cambridgeshire, England","<1899","W 64, H 61. Stalk 23 mm. Suitable for northerly, cold, wet climates. P Hawthornden x Keswick Codlin. A biennial crop that needs thinning. AM from RHS in 1899. Good disease resistance. Pick Late July to early August. Use July - August.","Cooking"
"333","Empire[143]","","Geneva, New York, US","Introduced 1966","P McIntosh x unknown. Lovely white subacid flesh. Tangy taste. Ruby red color.","Eating"
"334","Empire Red[5]","","British Columbia, Canada","Introduced 1942","A red apple. P unknown.","Cooking, Eating"
"335","Empress[10]","","Geneva, New York, US","Introduced 1988","A dark red apple, fair. P Jonamac x Vista Bella.","(Eating) Cooking"
"336","Encore[8][21][7]","","Berkshire, England","1906","Large cooking apple. W 83-96, H 73-90. Stalk 10–15 mm. First Class Certificate from RHS in 1908. Pick mid October. Use December to April.","Cooking"
"337","Engelsberger[144]","","Germany","1854","A German cider apple. Sugar-acid ratio 10:1. Juice yield 70-75%. Pick late September - Early October.","cider"
"338","English Codlin(syn. Common Codlin, Codlin, Quodlin)[7]","","England","<1600","Yellow with red flush and russet. W 82, H 64. Flesh, tender, white. acid, good. Stalk long. Use August - September.","Cooking"
"339","English Russet[3][145]","","?","<1870","W 69, H 62. Stalk 13 mm. Flesh yellowish-white, crisp, subacid. Good. Use January - May.","Eating"
"340","Enterprise","<","Illinois, US","1993","Classic North American red apple. Stores well up to six months. Makes very good candy apple.","Eating"
"341","Envy","","New Zealand","2009","Sweet and crispy, takes 4–8 hours after cutting to start browning. Royal Gala × Braeburn.","Eating"
"342","Epicure[8]","","Bedford, England","1909","Yellowish apple with reddish blush. Good clean taste. Award of Merit from RHS in 1931. W 63, H 54. Stalk long. Needs thinning for size. Prone to bitter pit, canker. Pick mid August. Use August - September.","Eating"
"343","Erickson[5]","","Minnesota, US","Introduced 1923","A large green apple.",""
"344","Erwin Baur[18]","","Germany","1955","W 68-80, H 57, We 105-212. Stalk 15 – 20 mm. Pick October. Use December - March.","Cooking, Eating"
"345","Esopus Spitzenburg[3][28][146][147]","","Esopus, New York, US","c. 1750","Grown by Thomas Jefferson at Monticello. Named for creek near which first seedling found. Heirloom variety still available at farmstands in Northeast and portions of Virginia. Flesh yellow, firm, crisp, juicy, aromatic, subacid, very good to best. Difficult to grow for inexperienced planters. W 73-77, H 68-76. Stalk 19–24 mm. Use December - February.","Cooking, Eating"
"346","Etter´s Gold[5]","","California US","Introduced 1944","Golden yellow. P unknown. Flesh crisp. Pick October.",""
"347","Eva[10]","","Brazil","","A yellow apple red striped(70%). P Gala x Anna. Flesh sweet, subacid, good. Tree very productive.","Eating"
"348","Evagil[7]","","England","Introduced 1863","A golden yellow apple. Stalk very short. Flesh pale yellow, hard, dry. Use September - October.","Cooking, Eating"
"349","Evening Party[3]","","US","<1860","W 68, H 52. Stalk 14 mm. Flesh juicy, vinous, aromatic. Use December - January.","Eating"
"350","EverCrisp","","Indiana, US","2008","Described as Fuji x Honeycrisp","Eating"
"351","Ewalt[4]","","Pennsylvania, US","<1850","A large apple, yellow with red flush. W 75, H 63. Flesh acid, aromatic. Use February - April.","Eating"
"352","Exeter Cross[8]","","England","1924","P Worcester Pearmain x Beauty of Bath. W 59, H 47. Stalk variable. Flesh crisp, juicy, sweet. Pick early August. Use August.","Eating"
"353","Exquisite (Laxton Exquisite)[8]","","Bedford, England","1902","Award of Merit from RHS in 1926. W 70, H 67. Stalk short to medium. Flesh sweet, aromatic. P Cox Orange x Cellini. Pick late August. Use September - October.","Eating"
"354","Fagerö[97][14]","","Sweden","<1860","W 75-80, H 68. A red mutant of Grågylling. Use October - December.","Eating"
"355","Fallawater(syn. Tulpehocken)[4][148]","","Pennsylvania, US","<1842","W 88, H 70. Stalk 8 mm. Flesh greenish white, crisp, juicy, mild subacid, good. Use November - December.","Eating"
"356","Fall Harvey[28]","","US","<1838","Flesh whitish, crisp, juicy, subacid, high flavor. Use October - December.","Eating"
"357","Fall Jenneting(syn. Fall Jeneting)[28]","","Connecticut, US","<1827","Flesh yellow, crisp, tender, juicy, subacid. Tree strong grower. Use September - December.","Cooking"
"358","Fall Orange[149][150]","","Mass. US","<1848","Pale Yellow. W 85, H75. Stalk 17 mm. Flesh white , crisp, tender, juicy, subacid, aromatic. A poor shipper. Biennial. Quality: eating excellent, cooking very good. Use September - December.","Eating, Cooking"
"359","Fall Pippin[151][59][4][152]","","US","<1806","Large yellow, roundish to roundish oblate. W 99, H 86. Stalk 22 mm. Flesh whitish - yellow, firm, fine, tender, very juicy, subacid, aromatic, very good. Pick September, use September - December. AS s.","Eating, Cooking"
"360","Fall Swaar(sy. Autumn Swaar)[4]","","US","<1800","W 70, H 58. Stalk 13 mm. Flesh yellow, juicy, mild subacid. Use September.","Cooking, Eating"
"361","Fall Wine(syn. Ohio Wine, Musk Spice, Sweet Wine)[3]","","US","<1800","W 75, H 56. Stalk 23 mm. Flesh yellowish, juicy, aromatic, mild, subacid, sweet. Use September - November.","Eating"
"362","Falstaff[153]","","Kent, England","1966","A good pollinator.","Dessert"
"363","Fameuse[8][4][3][28][154][155]","","Canada","<1730","Small apple, very sweet, flavour similar to McIntosh. Flesh white, tender, juicy, subacid, perfumed, very good. W 60-72, H 53-56. Stalk 11–17 mm. Pick late September. Use October - November.Of no value in Britain.","Eating"
"364","Family[3]","","Georgia, US","<1860","W 78, H 58. Stalk 20 mm. Flesh White, juicy, mild, pleasant, subacid. Use August - September.","Eating"
"365","Fanny[59][156][157]","","Pennsylvania, US","<1869","A bright red fruit of good dessert quality. W 63, H 50. Roundish slightly oblate. Tree vigorous. Flesh yellow, firm, fine, tender, juicy, mild subacid, good to very good. Use September - November.","Eating"
"366","Faurot[5]","","Missouri, US","Introduced 1935","P Ben Davis x Jonathan. Tree disease resistant.",""
"367","Fearns Pippin[6]","","London, England","<1780","An excellent apple for eating and cooking. The tree is very hardy and a great bearer. W 64, H 53. Stalk medium. Picking late September - early October. In use from November to February.","Cooking, Eating"
"368","Federal Pearmain(syn. Staaten Parmäne)[92]","","England","<1831","W 70, H 57. Yellow red streaked. Flesh vinous.","Eating"
"369","Feltham Beauty[7]","","Buckinghamshire, England","<1908","Yellowish-green with red stripes and flush. W 76, H 70. P Cox Orange x Gladstone. Flesh, crisp, sweet, very good. Use August - September.","Eating"
"370","Fenouillet Gris[6]","","France","1608","A dessert apple of great excellence. H 50 W 64. Short stalk. Picking time October. Use November - February.","Eating"
"371","Fiesta agm[158][21]","","Kent, England","1972","Sometimes called Red Pippin. Claims both UK and US heritage: P Cox's Orange x Idared. W 58, H 51. Stalk 22 – 30 mm. Has flavour similar to the former but storage, colouring, and cold tolerance of the latter. Can be susceptible to scab and canker.Pick mid September. Use October - January.","Eating"
"372","Filippa[14]","","Denmark","1893","A yellow apple with some red overcolour. W 63, H 58. Pick September. Use September - December.","Cooking, Eating"
"373","Fillbasket[6]","","England","<1875","Name of two different apple cultivars. One from Lancashire and the other from Kent.","Cooking"
"374","Fink(syn. Fink´s Seedling)[4]","","Ohio, US","<1847","A small apple. Flesh whitish, juicy, subacid good to very good. Good keeping qualities (one year).","Eating"
"375","Fireside[5]","","Minnesota, United States","Introduced 1943","Very fragrant. Yellow with red striping. Sweet apple, very popular in upper Midwest. Use November - April.","Eating"
"376","Fiskhill[159]","","New York, US","<1869","W 70-93, H 65. Stalk 16 mm. Tree vigorous. Flesh white, firm, coarse, juicy, mild subacid, fair to good. Use November - February.","Eating, Cooking"
"377","Flake´s Fall[3]","","Pa., US","<1869","Yellow with red flush. W 95, H 73. Stalk 17 mm. Flesh juicy, subacid, aromatic. Use October - November.","Eating"
"378","Flame 1.[143]","","Essex, England","1925","W 67, H 56. Yellow, striped scarlet. Flesh, sweet, aromatic, subacid.","Eating"
"379","Flame 2.[5]","","Minnesota, US","Introduced 1943","Crab apple. P unknown.","Ornamental"
"380","Flamenco","","United Kingdom","1950–1999","A columnar ornamental tree with delicious fruit","Eating"
"381","Flandrischer Rambour[34]","","?","<1800","A yellow apple with red flush. W 93, H 67. Stalk 13 mm. Use November - January.","?"
"382","Flickäpple[14]","","Sweden","<1850","A large cooking apple. Yellow with red stripes. H 55, W 80.","Cooking"
"383","Florina","","Angers, France","","(Querina), scab resistant","Eating"
"384","Flower of Kent[6]","","Kent or Lincolnshire England","<1629","A first-rate kitchen apple from October to January.W 89, H 70. Flesh crisp, subacid. This is the variety that inspired Sir Isaac Newton to consider gravity.","Cooking"
"385","Flushing Spitzenberg[4]","","US","<1822","Flesh white, yellow, juicy, crisp, mild, sweet, good. Use November - February.","Eating"
"386","Folwell[5]","","Minnesota, US","Introduced 1922","A large apple. P Malinda x unknown.",""
"387","Foote(syn. Foote´s Nonpareil)[3]","","Mass. US","<1875","Flesh firm, juicy, aromatic, subacid, very good. Trre vigorous, annual bearer. Use November.","Eating"
"388","Forge[8]","","Sussex, England","<1851","A yellow apple with red Flush. W 60, H 54. Stalk short. Flersh white, crisp, juicy, aromatic. Pick late September. Use October - November.","Eating"
"389","Fortune agm[160] (Laxton's Fortune)[21]","","England","1904","Cox's Orange Pippin × Wealthy. First Class Certificate from RHS in 1948. W 68, H 60. Stalk 25 mm. Prone to canker, good resistance to scab. Tendency to be biennial. Pick early September. Use September - October.","Eating"
"390","Foundling(syn. Shirley, Groton)[4]","","Mass. US","<1820","A medium to large apple. Flesh white, tender, juicy, subacid, aromatic, very good. Use September.","Eating"
"391","Fourth of July(syn. Sibirian August, August Apple)[3]","","Germany","<1875","Flesh white, juicy, subacid, good. Stalk short. Tree a strong grower.","Cooking, Eating"
"392","Fox Kernel(syn. Sack)[92]","","Herefordshire, England","?","Yellow with red stripes. H 70, W 70.","Cider"
"393","Foxley[92]","","England","c1800","Very small. Stalk 25 mm. Raised by Thomas Andrew Knight.","Cider"
"394","Foxwhelp[92]","","Herefordshire, England","<1650","Striped red and yellow. Flesh yellow with a rough acid flavour. W 63, H 63. Stalk 19 mm.","Cider"
"395","Fraas Sommer-Calvill[34]","","Germany","c1850","W 74, H 68. Stalk 15 mm. Use September - October.","Eating"
"396","Franklin[5]","","Ohio, US","Introduced 1937","P McIntosh x Delicious.","Eating"
"397","Fred Hough[10]","","Brazil","Introduced 1994","Small to medium, red striped. Very low acid content. P NJ 76 x Coop 14.","Eating"
"398","Freedom[144]","","US","1983","",""
"399","French Pippin[3]","","?","<1850","Flesh yellowish, tender, subacid, good. Tree vigorous. Use October - January.","Eating"
"400","Freyberg[8]","","New Zeeland","1934","P Golden Delicius x Cox Orange. W 65, H 56. Stalk long. Flesh white, juicy, sweet, aromatic. Pick early October. Use October - December.","Eating"
"401","Freiherr von Trauttenberg[34]","","Germany","<1850","W 69-71, H 65-76. Stalk 10 mm. Use November - February.","Cooking, Eating"
"402","Frieherr von Berlepsch[18]","","Germany","1880","54x63mm. One of the best eating apples. High in Vitamin C. Picking September. Use October–December.","Eating"
"403","Frogmore Profilic[8]","","Windsor, England","c1865","A yellow apple with red flush. W 70, H 60. Stalk long. Flesh white, soft, juicy, acid. Pick late August. Use September - November.","Cooking"
"404","Frostproof[5]","","Virginia, US","Discovered 1930. Introduced 1947.","P unknown. Quality fair. Tree blooms 30 days later than most apples usually do.","Eating"
"405","Frösåker[13]","","Sweden","<1900","A yellow apple. W 58-63. H 45-50. Stalk 12mm. Pick October. Use November - January.","Eating"
"406","Fuji[161][10]","","Aomori, Japan","1930s, Introduced 1962","P Red Delicious × Ralls Genet. Dark red, conic apple. Sweet, crisp, dense flesh is very mildly flavoured. Keeps very well. One of the most widely grown apple varieties in the world.","Eating"
"407","Fuji Frey[10]","","Brazil","Introduced 1995","Bud mutation of Fuji.","Eating"
"408","Fyan[5]","","Missouri, US","Introduced 1935","P Ben Davis x Jonathan. Ripens 2 weeks after Jonathan. Tree very vigorous, regular bearer, resistant to disease.","Eating"
"409","Gala, Royal Gala[8][21]","","New Zealand","1970s","A small to medium-sized conic apple. W 61, H 58. Stalk 25 mm. Thin, tannic skin is yellow-green with a red blush overlaid with reddish-orange streaks. Flesh is yellowish-white, crisp and grainy with a mild flavour. Cross of three of the world's best known apples: Kidd's Orange Red (a cross of Red Delicious and Cox's Orange Pippin) × Golden Delicious. One of the most widely available commercial fruit. Pick early October. Use October - January.","Eating"
"410","Galbraith Baldwin[5]","","Massachusetts, US","Introduced 1948","Mutation of Baldwin. Highly colored.","Eating"
"411","Galícia[10]","","Brazil","1987","P Gala x Anna. Flesh crisp, juicy. Tree very productive.","Eating"
"412","Galloway[8]","","Scotland","<1871","Large eating and cooking apple. First Class Certificate from RHS in 1871. W 90, H 71. Stalk short. Pick late September. Use November–February.","Eating, Cooking"
"413","Ganges[92]","","England","?","A green kitchen apple. Use October - February.","Cooking"
"414","Garden Royal[3]","","Sudbury, Massachusetts, US","<1847","A medium-sized roundish-oblate, sometimes slightly conical apple. W 70, H 57. Stalk 22 mm. Greenish-yellow skin is striped and splashed with bright red, dull or grayish toward the stem; dots few, light and gray; cavity deep, basin shallow, slightly uneven. Flesh yellow, very tender, juicy, rich, mildly subacid and aromatic. Poor keeper. Upright habit, productive bearer, some biennial tendency. Use late August - September.","Eating"
